iter	Passed	Remaining
0	58	58774
1	59	29531
2	59	19769
3	59	14878
4	60	11947
5	60	9992
6	60	8594
7	60	7561
8	61	6753
9	61	6098
10	61	5566
11	62	5126
12	62	4753
13	62	4427
14	63	4149
15	63	3903
16	63	3685
17	64	3492
18	64	3319
19	64	3165
20	64	3023
21	65	2895
22	65	2778
23	65	2671
24	65	2573
25	66	2482
26	66	2398
27	66	2321
28	67	2247
29	67	2179
30	67	2114
31	67	2054
32	68	1997
33	68	1943
34	68	1893
35	68	1846
36	69	1800
37	69	1758
38	69	1719
39	70	1696
40	70	1660
41	71	1624
42	71	1590
43	71	1558
44	71	1527
45	72	1498
46	72	1470
47	72	1442
48	72	1416
49	73	1391
50	73	1369
51	73	1345
52	74	1323
53	74	1303
54	74	1283
55	74	1263
56	75	1244
57	75	1225
58	75	1207
59	75	1189
60	76	1172
61	76	1156
62	76	1141
63	77	1126
64	77	1112
65	77	1097
66	77	1083
67	77	1067
68	78	1054
69	78	1041
70	78	1028
71	78	1016
72	79	1004
73	79	992
74	79	981
75	79	970
76	80	959
77	80	949
78	80	939
79	80	929
80	81	919
81	81	910
82	81	901
83	81	892
84	81	881
85	82	873
86	82	863
87	82	854
88	82	846
89	82	838
90	83	831
91	83	823
92	83	815
93	83	808
94	84	801
95	84	794
96	84	787
97	84	781
98	85	774
99	85	768
100	85	762
101	85	754
102	85	748
103	86	742
104	86	737
105	86	731
106	86	725
107	87	719
108	87	714
109	87	708
110	87	704
111	88	699
112	88	694
113	88	689
114	88	684
115	89	679
116	89	674
117	89	669
118	89	664
119	89	659
120	90	655
121	90	651
122	90	645
123	90	641
124	91	637
125	91	633
126	91	629
127	91	624
128	91	620
129	92	616
130	92	612
131	92	608
132	92	604
133	92	600
134	93	597
135	93	593
136	93	590
137	93	586
138	94	582
139	94	579
140	94	575
141	94	572
142	95	569
143	95	566
144	95	563
145	95	560
146	96	557
147	96	554
148	96	551
149	96	548
150	97	545
151	97	542
152	97	539
153	97	536
154	97	534
155	98	531
156	98	528
157	98	526
158	98	523
159	99	520
160	99	518
161	99	515
162	99	513
163	100	510
164	100	508
165	100	505
166	100	503
167	101	500
168	101	498
169	101	495
170	101	493
171	102	491
172	102	489
173	102	486
174	102	484
175	103	482
176	103	480
177	103	477
178	103	475
179	103	473
180	104	470
181	104	468
182	104	466
183	104	464
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	448
192	106	446
193	107	444
194	107	442
195	107	441
196	107	439
197	107	437
198	108	435
199	108	433
200	108	431
201	108	430
202	109	428
203	109	426
204	109	424
205	109	423
206	110	421
207	110	419
208	110	418
209	110	416
210	111	415
211	111	413
212	111	412
213	111	410
214	112	409
215	112	407
216	112	405
217	112	404
218	112	402
219	113	401
220	113	399
221	113	398
222	113	397
223	114	395
224	114	394
225	114	392
226	114	391
227	115	390
228	115	388
229	115	387
230	115	385
231	116	384
232	116	382
233	116	381
234	116	380
235	117	378
236	117	377
237	117	376
238	117	374
239	117	373
240	118	372
241	118	371
242	118	369
243	118	368
244	119	367
245	119	366
246	119	364
247	119	363
248	120	362
249	120	361
250	120	360
251	120	359
252	121	357
253	121	356
254	121	355
255	121	354
256	122	353
257	122	351
258	122	350
259	122	349
260	123	348
261	123	347
262	123	346
263	123	344
264	123	343
265	124	342
266	124	341
267	124	340
268	124	339
269	125	338
270	125	337
271	125	336
272	125	335
273	126	334
274	126	333
275	126	332
276	126	331
277	127	330
278	127	329
279	127	328
280	127	327
281	128	326
282	128	325
283	128	324
284	128	322
285	128	321
286	129	320
287	129	319
288	129	319
289	129	318
290	130	317
291	130	316
292	130	315
293	130	314
294	131	313
295	131	312
296	131	311
297	131	310
298	132	309
299	132	308
300	132	307
301	132	306
302	133	306
303	133	305
304	133	304
305	133	303
306	133	302
307	134	301
308	134	300
309	134	300
310	135	299
311	135	298
312	135	297
313	135	296
314	136	295
315	136	295
316	136	294
317	136	293
318	137	292
319	137	291
320	137	291
321	137	290
322	138	289
323	138	288
324	138	287
325	138	286
326	138	286
327	139	285
328	139	284
329	139	283
330	139	282
331	140	282
332	140	281
333	140	280
334	140	279
335	141	278
336	141	278
337	141	277
338	141	276
339	141	275
340	142	274
341	142	274
342	142	273
343	142	272
344	143	271
345	143	271
346	143	270
347	143	269
348	144	268
349	144	267
350	144	267
351	144	266
352	144	265
353	145	265
354	145	264
355	145	263
356	145	262
357	146	262
358	146	261
359	146	260
360	146	260
361	147	259
362	147	258
363	147	257
364	147	257
365	148	256
366	148	255
367	148	255
368	148	254
369	148	253
370	149	253
371	149	252
372	149	251
373	149	250
374	150	250
375	150	249
376	150	248
377	150	248
378	151	247
379	151	247
380	151	246
381	151	245
382	152	245
383	152	244
384	152	243
385	152	243
386	153	242
387	153	241
388	153	241
389	153	240
390	154	240
391	154	239
392	154	238
393	154	238
394	155	237
395	155	236
396	155	236
397	155	235
398	156	235
399	156	234
400	156	233
401	156	233
402	157	232
403	157	232
404	157	231
405	157	231
406	158	230
407	158	229
408	158	229
409	158	228
410	159	227
411	159	227
412	159	226
413	159	226
414	159	225
415	160	224
416	160	224
417	160	223
418	160	223
419	161	222
420	161	221
421	161	221
422	161	220
423	162	220
424	162	219
425	162	219
426	162	218
427	163	217
428	163	217
429	163	216
430	163	216
431	163	215
432	164	215
433	164	214
434	164	213
435	164	213
436	165	212
437	165	212
438	165	211
439	165	211
440	166	210
441	166	209
442	166	209
443	166	208
444	167	208
445	167	207
446	167	207
447	167	206
448	167	206
449	168	205
450	168	205
451	168	204
452	168	203
453	169	203
454	169	202
455	169	202
456	169	201
457	170	201
458	170	200
459	170	200
460	170	199
461	171	199
462	171	198
463	171	198
464	171	197
465	171	197
466	172	196
467	172	196
468	172	195
469	172	194
470	173	194
471	173	193
472	173	193
473	173	192
474	174	192
475	174	191
476	174	191
477	174	190
478	175	190
479	175	189
480	175	189
481	175	188
482	175	188
483	176	187
484	176	187
485	176	186
486	176	186
487	177	185
488	177	185
489	177	184
490	177	184
491	178	183
492	178	183
493	178	182
494	178	182
495	179	181
496	179	181
497	179	180
498	179	180
499	179	179
500	180	179
501	180	178
502	180	178
503	180	178
504	181	177
505	181	177
506	181	176
507	181	176
508	182	175
509	182	175
510	182	174
511	182	174
512	183	173
513	183	173
514	183	172
515	183	172
516	184	172
517	184	171
518	184	171
519	184	170
520	185	170
521	185	169
522	185	169
523	185	168
524	185	168
525	186	167
526	186	167
527	186	166
528	186	166
529	187	165
530	187	165
531	187	165
532	187	164
533	188	164
534	188	163
535	188	163
536	188	162
537	189	162
538	189	161
539	189	161
540	189	160
541	189	160
542	190	159
543	190	159
544	190	159
545	190	158
546	191	158
547	191	157
548	191	157
549	191	156
550	191	156
551	192	155
552	192	155
553	192	155
554	192	154
555	193	154
556	193	153
557	193	153
558	193	152
559	194	152
560	194	152
561	194	151
562	194	151
563	195	150
564	195	150
565	195	149
566	195	149
567	195	149
568	196	148
569	196	148
570	196	147
571	196	147
572	197	146
573	197	146
574	197	145
575	197	145
576	197	145
577	198	144
578	198	144
579	198	143
580	198	143
581	199	142
582	199	142
583	199	142
584	199	141
585	200	141
586	200	140
587	200	140
588	200	140
589	200	139
590	201	139
591	201	138
592	201	138
593	201	137
594	202	137
595	202	137
596	202	136
597	202	136
598	202	135
599	203	135
600	203	135
601	203	134
602	203	134
603	204	133
604	204	133
605	204	133
606	204	132
607	205	132
608	205	131
609	205	131
610	205	130
611	205	130
612	206	130
613	206	129
614	206	129
615	206	128
616	207	128
617	207	128
618	207	127
619	207	127
620	208	127
621	208	126
622	208	126
623	208	125
624	209	125
625	209	125
626	209	124
627	209	124
628	209	123
629	210	123
630	210	123
631	210	122
632	210	122
633	211	121
634	211	121
635	211	121
636	211	120
637	212	120
638	212	119
639	212	119
640	212	119
641	213	118
642	213	118
643	213	117
644	213	117
645	213	117
646	214	116
647	214	116
648	214	116
649	214	115
650	215	115
651	215	114
652	215	114
653	215	114
654	216	113
655	216	113
656	216	113
657	216	112
658	216	112
659	217	111
660	217	111
661	217	111
662	217	110
663	218	110
664	218	110
665	218	109
666	218	109
667	219	108
668	219	108
669	219	108
670	219	107
671	220	107
672	220	107
673	220	106
674	220	106
675	221	105
676	221	105
677	221	105
678	221	104
679	221	104
680	222	104
681	222	103
682	222	103
683	222	102
684	223	102
685	223	102
686	223	101
687	223	101
688	224	101
689	224	100
690	224	100
691	224	100
692	225	99
693	225	99
694	225	98
695	225	98
696	226	98
697	226	97
698	226	97
699	226	97
700	227	96
701	227	96
702	227	96
703	227	95
704	227	95
705	228	94
706	228	94
707	228	94
708	228	93
709	229	93
710	229	93
711	229	92
712	229	92
713	229	92
714	230	91
715	230	91
716	230	91
717	231	90
718	231	90
719	231	90
720	231	89
721	231	89
722	232	88
723	232	88
724	232	88
725	232	87
726	233	87
727	233	87
728	233	86
729	233	86
730	233	86
731	234	85
732	234	85
733	234	85
734	235	84
735	235	84
736	235	84
737	235	83
738	235	83
739	236	82
740	236	82
741	236	82
742	236	81
743	237	81
744	237	81
745	237	80
746	237	80
747	238	80
748	238	79
749	238	79
750	238	79
751	239	78
752	239	78
753	239	78
754	239	77
755	239	77
756	240	77
757	240	76
758	240	76
759	240	76
760	241	75
761	241	75
762	241	75
763	241	74
764	242	74
765	242	74
766	242	73
767	242	73
768	243	73
769	243	72
770	243	72
771	243	71
772	244	71
773	244	71
774	244	70
775	244	70
776	244	70
777	245	69
778	245	69
779	245	69
780	245	68
781	246	68
782	246	68
783	246	67
784	246	67
785	247	67
786	247	66
787	247	66
788	247	66
789	248	65
790	248	65
791	248	65
792	248	64
793	248	64
794	249	64
795	249	63
796	249	63
797	249	63
798	250	62
799	250	62
800	250	62
801	250	61
802	251	61
803	251	61
804	251	60
805	251	60
806	251	60
807	252	59
808	252	59
809	252	59
810	252	58
811	253	58
812	253	58
813	253	57
814	253	57
815	254	57
816	254	56
817	254	56
818	254	56
819	255	55
820	255	55
821	255	55
822	255	55
823	256	54
824	256	54
825	256	54
826	256	53
827	257	53
828	257	53
829	257	52
830	257	52
831	257	52
832	258	51
833	258	51
834	258	51
835	258	50
836	259	50
837	259	50
838	259	49
839	259	49
840	260	49
841	260	48
842	260	48
843	260	48
844	261	47
845	261	47
846	261	47
847	261	46
848	261	46
849	262	46
850	262	45
851	262	45
852	262	45
853	263	44
854	263	44
855	263	44
856	263	44
857	264	43
858	264	43
859	264	43
860	264	42
861	265	42
862	265	42
863	265	41
864	265	41
865	265	41
866	266	40
867	266	40
868	266	40
869	266	39
870	267	39
871	267	39
872	267	38
873	267	38
874	268	38
875	268	37
876	268	37
877	268	37
878	269	37
879	269	36
880	269	36
881	269	36
882	270	35
883	270	35
884	270	35
885	270	34
886	271	34
887	271	34
888	271	33
889	271	33
890	271	33
891	272	32
892	272	32
893	272	32
894	272	32
895	273	31
896	273	31
897	273	31
898	273	30
899	274	30
900	274	30
901	274	29
902	274	29
903	275	29
904	275	28
905	275	28
906	275	28
907	276	27
908	276	27
909	276	27
910	276	27
911	277	26
912	277	26
913	277	26
914	277	25
915	277	25
916	278	25
917	278	24
918	278	24
919	278	24
920	279	23
921	279	23
