iter	Passed	Remaining
0	58	58014
1	58	29116
2	58	19494
3	58	14680
4	59	11787
5	59	9858
6	59	8488
7	60	7460
8	60	6652
9	60	6012
10	61	5491
11	61	5056
12	61	4688
13	62	4371
14	62	4098
15	62	3856
16	62	3641
17	63	3453
18	63	3284
19	63	3131
20	64	2991
21	64	2865
22	64	2748
23	64	2642
24	65	2543
25	65	2453
26	65	2368
27	65	2291
28	66	2218
29	66	2150
30	66	2087
31	67	2028
32	67	1972
33	67	1920
34	67	1871
35	68	1823
36	68	1780
37	68	1737
38	68	1697
39	69	1658
40	69	1621
41	69	1588
42	70	1558
43	70	1526
44	70	1497
45	70	1468
46	71	1440
47	71	1414
48	71	1389
49	71	1364
50	72	1346
51	72	1323
52	72	1302
53	73	1281
54	73	1261
55	73	1241
56	73	1223
57	74	1206
58	74	1188
59	74	1172
60	75	1156
61	75	1139
62	75	1124
63	75	1109
64	76	1094
65	76	1080
66	76	1066
67	76	1053
68	77	1040
69	77	1028
70	77	1015
71	77	1004
72	78	992
73	78	981
74	78	971
75	79	961
76	79	950
77	79	939
78	79	930
79	80	920
80	80	911
81	80	901
82	80	891
83	80	882
84	81	873
85	81	865
86	81	856
87	81	848
88	82	840
89	82	832
90	82	824
91	82	817
92	83	809
93	83	802
94	83	795
95	83	789
96	84	783
97	84	776
98	84	771
99	85	766
100	85	760
101	85	754
102	86	749
103	86	744
104	86	738
105	86	732
106	87	727
107	87	721
108	87	716
109	87	710
110	88	705
111	88	700
112	88	694
113	88	689
114	89	685
115	89	680
116	89	674
117	89	670
118	89	665
119	90	660
120	90	656
121	90	651
122	90	647
123	91	643
124	91	638
125	91	634
126	91	630
127	91	625
128	92	622
129	92	618
130	92	614
131	92	610
132	93	607
133	93	604
134	93	601
135	94	598
136	94	595
137	94	591
138	95	588
139	95	585
140	95	581
141	95	577
142	95	574
143	96	570
144	96	567
145	96	564
146	96	561
147	96	558
148	97	555
149	97	552
150	97	549
151	97	546
152	98	543
153	98	540
154	98	538
155	99	535
156	99	533
157	99	530
158	99	527
159	100	525
